arm,held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates
calibration_auc_rbf,StudyN,16,480,-0.9412244887004653,0.4974589978658927,1.214547199820508,0.23955392727886793,cluster,
calibration_auc_rbf,StudyO,34,1187,0.5302471391996504,0.4372291503509784,0.5922181016462783,0.17875547472914133,cluster,
calibration_auc_rbf,StudyQ,54,1944,0.29775657596226135,0.295493737673977,0.6739105135192375,0.14149715277134955,cluster,
calibration_auc_rbf,StudyR,80,1440,1.9509360370406168,0.7257178334035641,0.49031939159953253,0.3115734008392093,cluster,
calibration_auc_rbf,StudyS1,20,360,1.7625337421029326,3.155188050007248,1.5165791729285194,1.0634854580397208,cluster,
calibration_auc_rbf,StudyS2,48,864,-0.15888615302045572,1.0085877094043834,1.8986726792593347,0.4382450085318813,cluster,
calibration_auc_gbm,StudyA,39,1404,-2.3906856022832033,0.6998008622996352,2.199861745499245,0.41615651123841885,cluster,
calibration_auc_gbm,StudyB,56,781,-0.35541579814359536,0.5647941446116079,1.55636194515324,0.4459451636826599,cluster,
calibration_auc_gbm,StudyD,34,1230,0.33659391044398046,0.6898936189775612,0.9538995157694834,0.3126609120656773,cluster,
calibration_auc_gbm,StudyE,8,240,1.8525679406104396,0.5390677140029484,0.3723270451128615,0.38033666199284216,cluster,
calibration_auc_gbm,StudyF,89,1067,-1.7537340797390555,0.481730686253116,1.8151688621658493,0.3352331174030584,cluster,
calibration_auc_gbm,StudyG,40,1198,-0.6013841906082422,0.6019785703724929,1.3934098971612574,0.3004863920079545,cluster,
calibration_auc_gbm,StudyH,64,1926,1.808396091611661,0.2784606723146772,0.13044274132950293,0.2362257518417991,cluster,
calibration_auc_gbm,StudyI,26,948,0.3234695872238037,0.5121141672087449,0.29026118933723466,0.3122765681951785,cluster,
calibration_auc_gbm,StudyJ,40,1812,0.5334170352632852,0.39635610315623615,0.2817567284497953,0.22819819158021473,cluster,
calibration_auc_gbm,StudyK,16,480,0.29547970638262033,0.8342380156850272,0.9996830551967839,0.5178592503640187,cluster,
calibration_auc_gbm,StudyL,33,990,-1.4365673028993444,0.3494650278080383,1.8540415995787722,0.2376665097468969,cluster,
calibration_auc_gbm,StudyM,42,1260,0.27229549990736424,0.4119371765182187,0.9479498147098527,0.3072722312569833,cluster,
calibration_auc_gbm,StudyN,16,480,-0.8448120389622314,0.804663930622153,1.0395015693737903,0.3908779386053157,cluster,
calibration_auc_gbm,StudyO,34,1187,0.5930027025412046,0.5401756965668801,0.5848423941380692,0.22773630927085187,cluster,
calibration_auc_gbm,StudyQ,54,1944,-0.11793287304126371,0.32804896312312065,0.9822284056057042,0.16920441686496449,cluster,
calibration_auc_gbm,StudyR,80,1440,1.7898859328778038,0.6414164821373219,0.5678443445670637,0.294206043627081,cluster,
calibration_auc_gbm,StudyS1,20,360,3.170313095448118,2.517035078139605,0.9632049463973638,0.7838593066360552,cluster,
calibration_auc_gbm,StudyS2,48,864,0.46195412189665297,0.7754642136288032,1.4478375883825425,0.2992828578096782,cluster,
